transaction_id,user_id,merchant_id,amount,status,payment_method,transaction_date,device
T864915,U11477,M1331,32246,Success,USSD,2/24/2025,Mobile
T820756,U14979,M1096,₦25934,success,Card,27/06/2024,Mobile
T776456,U13297,M1051,NGN 29920,success,Card,6/9/2024,Mobile
T502643,U10169,M1056,₦24864,Success,Transfer,1/28/2025,Mobile
T249564,U14912,M1006,₦17641,Success,USSD,10/15/2025,Mobile
T245993,U13935,M1388,NGN 13359,Pending,Transfer,27/09/2025,Web
T262018,U11997,M1028,NGN 31485,FAILED,Card,1/27/2025,Mobile
T671098,U12430,M1052,NGN 6838,Pending,Transfer,9/25/2024,Mobile
T337686,U13499,M1197,₦1672,FAILED,USSD,1/28/2026,POS
T820126,U10920,M1251,₦25314,Success,Transfer,8/12/2024,Web
T179995,U12733,M1060,23516,Success,Card,12/6/2024,Mobile
T549449,U14345,M1171,NGN 11769,success,,8/19/2025,POS
T416212,U12351,M1178,₦45133,FAILED,,1/6/2026,Web
T950100,U10625,M1403,₦17493,success,Transfer,24/11/2024,Mobile
T568394,U13919,M1417,₦25698,Success,,4/28/2024,Web
T194840,U12646,M1065,₦9580,Pending,USSD,17/10/2024,Web
T604667,U13391,M1308,NGN 27876,FAILED,Transfer,6/19/2025,Mobile
T538996,U14500,M1254,NGN 25212,Pending,Transfer,22/08/2024,Mobile
T849649,U13455,M1269,NGN 38174,success,Card,2/17/2026,Web
T313154,U10140,M1185,NGN 287,Pending,Transfer,2/22/2025,Mobile
T478387,U11141,M1150,22994,success,,1/16/2026,Mobile
T158579,U11128,M1060,NGN 14818,success,,10/11/2024,Mobile
T545339,U13044,M1027,NGN 45721,Success,Card,21/11/2025,POS
T131652,U11203,M1187,₦10466,Success,Transfer,4/22/2024,Mobile
T971437,U13411,M1076,₦37401,Pending,Transfer,12/2/2024,POS
T414056,U13851,M1210,NGN 45881,FAILED,,11/14/2024,POS
T400699,U10911,M1079,₦965,Success,Transfer,4/8/2025,Mobile
T515645,U13470,M1348,812,FAILED,USSD,8/22/2025,Mobile
T264417,U12226,M1498,₦27865,Pending,Transfer,8/31/2025,Mobile
T749114,U10458,M1112,26340,success,Card,1/7/2025,Web
T428403,U13318,M1423,31387,success,Card,2/6/2024,POS
T304189,U12211,M1055,₦27901,Success,USSD,11/23/2024,Web
T351165,U12311,M1083,NGN 1938,Success,Card,1/30/2025,POS
T893270,U12532,M1096,NGN 819,success,Card,9/10/2024,Web
T697817,U14626,M1022,NGN 5673,Pending,Card,12/23/2025,Web
T423595,U10069,M1182,6208,Pending,Transfer,20/08/2025,Web
T473122,U11061,M1359,NGN 47658,Success,USSD,28/12/2025,POS
T205909,U14113,M1413,₦33102,Success,,5/2/2026,POS
T404212,U11320,M1077,NGN 2551,Pending,Card,2/22/2026,Mobile
T342818,U11766,M1413,NGN 47185,success,Transfer,2/23/2025,POS
T738309,U14286,M1476,47857,Pending,Transfer,11/6/2025,Web
T753756,U13529,M1020,NGN 23713,Pending,Transfer,9/11/2025,POS
T178641,U11248,M1290,NGN 39872,Pending,Card,4/25/2025,Mobile
T673713,U10714,M1255,₦20386,Pending,USSD,7/14/2025,Web
T171472,U12294,M1295,10682,FAILED,Card,3/13/2025,Mobile
T909438,U13774,M1132,46673,FAILED,,2/5/2026,Mobile
T696360,U13999,M1020,8224,FAILED,,25/01/2025,POS
T235249,U13611,M1187,NGN 44702,FAILED,USSD,6/1/2025,POS
T630519,U13687,M1134,NGN 27179,Success,Card,12/27/2025,Mobile
T961127,U14594,M1004,₦45958,Success,USSD,21/08/2025,Mobile
T518675,U10597,M1114,37464,Pending,Card,1/10/2025,Web
T773693,U14383,M1460,30802,Success,Card,2/4/2025,POS
T516226,U13548,M1102,7200,FAILED,Card,5/5/2024,Web
T609917,U11741,M1359,NGN 39707,Pending,Card,11/4/2026,Web
T671559,U11275,M1485,2608,success,Transfer,28/12/2024,POS
T730275,U13115,M1031,2152,Pending,,1/10/2026,Mobile
